epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0658,1.17218,2.43714,1.47764,0.55626,0.49027,0.4951,0.27737,1.4266,1.95291,1.92967,0.000413194,0.000413194,0.000413194
2,42.086,1.29646,1.98527,1.54961,0.45466,0.40466,0.40553,0.21356,1.49451,2.3386,2.02767,0.00081343,0.00081343,0.00081343
3,61.4192,1.30567,1.8546,1.54548,0.53539,0.29353,0.35044,0.17961,1.58063,2.28456,1.94863,0.00119717,0.00119717,0.00119717
4,80.8003,1.32621,1.76197,1.56009,0.51543,0.53727,0.51807,0.29983,1.42461,1.7852,1.81223,0.00117575,0.00117575,0.00117575
5,100.001,1.28296,1.62933,1.52593,0.51714,0.56394,0.55356,0.3291,1.38608,1.7347,1.81738,0.001151,0.001151,0.001151
6,119.232,1.2682,1.51078,1.50025,0.50859,0.54588,0.54852,0.32447,1.44462,1.70824,1.84669,0.00112625,0.00112625,0.00112625
7,138.51,1.24076,1.45631,1.48246,0.6655,0.536,0.61936,0.38703,1.29667,1.44975,1.68255,0.0011015,0.0011015,0.0011015
8,157.586,1.23046,1.38793,1.4772,0.72765,0.59805,0.71646,0.45045,1.22657,1.26586,1.57807,0.00107675,0.00107675,0.00107675
9,176.571,1.21865,1.33139,1.46163,0.67532,0.58036,0.65101,0.4112,1.32272,1.3457,1.68393,0.001052,0.001052,0.001052
10,195.658,1.19258,1.29613,1.44442,0.73992,0.56078,0.66333,0.40748,1.327,1.36336,1.71011,0.00102725,0.00102725,0.00102725
11,214.978,1.17252,1.2844,1.43995,0.70993,0.62539,0.71234,0.44332,1.26489,1.25868,1.60618,0.0010025,0.0010025,0.0010025
12,234.709,1.16928,1.24181,1.431,0.74949,0.64211,0.72571,0.46805,1.25293,1.17513,1.62055,0.00097775,0.00097775,0.00097775
13,253.983,1.16993,1.20575,1.42668,0.73332,0.66207,0.74874,0.47338,1.29423,1.17303,1.62036,0.000953,0.000953,0.000953
14,273.37,1.15396,1.18323,1.41383,0.7941,0.57575,0.71093,0.44242,1.27034,1.30549,1.63308,0.00092825,0.00092825,0.00092825
15,292.424,1.14399,1.15278,1.40776,0.78791,0.64123,0.7431,0.48132,1.22611,1.16105,1.59189,0.0009035,0.0009035,0.0009035
16,311.351,1.13523,1.08528,1.38769,0.74295,0.64315,0.73485,0.46937,1.21631,1.13437,1.56577,0.00087875,0.00087875,0.00087875
17,330.107,1.11274,1.11776,1.38785,0.78806,0.70262,0.79836,0.53048,1.20048,1.00402,1.57393,0.000854,0.000854,0.000854
18,349.082,1.12053,1.08751,1.39422,0.79968,0.70524,0.80107,0.52083,1.2064,1.00593,1.55879,0.00082925,0.00082925,0.00082925
19,368.183,1.0929,1.03359,1.36215,0.82291,0.66349,0.78799,0.52453,1.16591,0.99371,1.5159,0.0008045,0.0008045,0.0008045
20,387.089,1.09414,1.02235,1.35641,0.79943,0.6751,0.78381,0.52097,1.1918,0.99938,1.56718,0.00077975,0.00077975,0.00077975
21,406.036,1.07404,1.01783,1.34964,0.79756,0.68793,0.79776,0.51619,1.18253,1.00646,1.52251,0.000755,0.000755,0.000755
22,424.859,1.08636,1.00369,1.35616,0.82358,0.72077,0.82099,0.54243,1.18009,0.90664,1.54723,0.00073025,0.00073025,0.00073025
23,444.005,1.06356,0.95635,1.34199,0.82014,0.72405,0.81549,0.5489,1.15966,0.95311,1.52036,0.0007055,0.0007055,0.0007055
24,462.913,1.06662,0.97292,1.35206,0.81481,0.69306,0.78624,0.53249,1.16146,0.95824,1.53701,0.00068075,0.00068075,0.00068075
25,482.007,1.03686,0.94403,1.32608,0.7787,0.6848,0.78914,0.52814,1.19435,0.96918,1.5619,0.000656,0.000656,0.000656
26,501.142,1.05389,0.93077,1.33236,0.81237,0.71388,0.82035,0.54157,1.17296,0.93887,1.49783,0.00063125,0.00063125,0.00063125
27,519.995,1.03802,0.92902,1.32486,0.86558,0.70445,0.84218,0.56438,1.1433,0.85759,1.50058,0.0006065,0.0006065,0.0006065
28,538.844,1.01867,0.89204,1.30899,0.85524,0.70088,0.8231,0.55265,1.15019,0.91064,1.52188,0.00058175,0.00058175,0.00058175
29,557.732,1.03178,0.88977,1.32334,0.80935,0.75521,0.84079,0.56849,1.15304,0.85267,1.50075,0.000557,0.000557,0.000557
30,576.765,1.01917,0.86957,1.30486,0.8018,0.74692,0.83627,0.56921,1.09461,0.87452,1.45801,0.00053225,0.00053225,0.00053225
31,595.715,1.00036,0.83437,1.298,0.82667,0.75379,0.84021,0.56828,1.13136,0.84564,1.49095,0.0005075,0.0005075,0.0005075
32,614.745,1.0053,0.84807,1.29277,0.77251,0.7086,0.7939,0.54022,1.10549,0.98079,1.4703,0.00048275,0.00048275,0.00048275
33,633.669,0.99267,0.83021,1.28598,0.86097,0.71894,0.83794,0.57144,1.10852,0.82878,1.47213,0.000458,0.000458,0.000458
34,652.533,0.99645,0.81431,1.29063,0.85314,0.77898,0.85802,0.5897,1.10424,0.80324,1.46529,0.00043325,0.00043325,0.00043325
35,671.516,0.98599,0.79902,1.28517,0.86796,0.7442,0.84933,0.58649,1.11326,0.8263,1.45792,0.0004085,0.0004085,0.0004085
